,likes,dislikes,ld_ratio,date,genre,is_title_all_caps,views
52,4806,307,15.603896103896103,2017-11-11T11:00:01.000Z,24,False,148083
53,2532,86,29.103448275862068,2017-11-12T14:33:25.000Z,24,False,138694
54,6304,255,24.625,2017-11-12T13:11:22.000Z,17,False,332968
55,12320,265,46.31578947368421,2017-11-11T09:59:12.000Z,23,False,228371
56,2550,64,39.23076923076923,2017-11-12T09:27:19.000Z,26,True,27453
57,12426,496,25.002012072434606,2017-11-11T17:00:05.000Z,28,False,118927
58,2062,134,15.274074074074074,2017-11-12T20:00:01.000Z,24,False,105753
59,5776,994,5.80502512562814,2017-11-12T13:03:40.000Z,25,False,627883
60,57,7,7.125,2017-11-12T20:56:14.000Z,22,False,17483
61,52443,691,75.78468208092485,2017-11-10T17:00:12.000Z,17,True,520924
62,0,0,0.0,2017-11-13T08:29:45.000Z,22,False,30772
63,2687,511,5.248046875,2017-11-11T19:57:53.000Z,28,True,834985
64,189,8,21.0,2017-11-12T01:51:26.000Z,22,False,3562
65,26110,317,82.10691823899371,2017-11-11T16:00:02.000Z,24,False,419614
66,503,44,11.177777777777777,2017-11-07T13:19:26.000Z,22,False,11882
67,304,38,7.794871794871795,2017-11-12T15:15:08.000Z,22,False,24524
68,27864,1060,26.262016965127238,2017-11-12T13:59:32.000Z,22,False,719107
69,215,1,107.5,2017-11-10T11:02:11.000Z,24,False,29474
70,2479,551,4.490942028985507,2017-11-11T19:19:47.000Z,17,False,697649
71,29,0,29.0,2017-11-13T05:54:40.000Z,24,True,3842
72,1487,230,6.437229437229437,2017-11-12T02:52:03.000Z,17,False,311977
73,107,0,107.0,2017-11-13T09:53:49.000Z,28,False,1159
